Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, Flow, Int_L1, Int_L2, Int_L3,Other_Lev,Time
Net1,0,2,22,69,19,0.0,19,287.0,0,0,0,0,0.29
Net1,3,2,22,69,19,0.0,12,204.5845,3,0,0,0,3.77
Net1,6,2,22,69,19,0.0,9,144.8565,3,3,0,0,888.64
Net1,9,2,22,69,19,0.17,6,118.0,3,6,0,0,7200.12
Net1,12,2,22,69,19,0.25,4,53.0,3,5,4,0,7200.13
Net2,0,2,22,66,17,0.0,17,312.0,0,0,0,0,0.13
Net2,3,2,22,66,17,0.0,13,263.0,0,3,0,0,2.23
Net2,6,2,22,66,17,0.0,10,215.0,0,2,4,0,621.49
Net2,9,2,22,66,17,0.25,8,129.0,0,5,4,0,7200.14
Net2,12,2,22,66,17,0.2,5,83.0,0,3,9,0,7200.18
Net3,0,2,22,66,19,0.0,19,283.0,0,0,0,0,0.1
Net3,3,2,22,66,19,0.0,14,206.4602,2,0,0,0,2.91
Net3,6,2,22,66,19,0.0,11,158.4508,2,3,0,0,399.0
Net3,9,2,22,66,19,0.25,8,110.0,2,2,4,0,7200.12
Net3,12,2,22,66,19,0.2,5,78.0,2,5,4,0,7200.12
Net4,0,2,22,58,17,0.0,17,229.0,0,0,0,0,0.11
Net4,3,2,22,58,17,0.0,13,165.6082,0,0,3,0,2.03
Net4,6,2,22,58,17,0.0,9,112.7964,0,0,6,0,198.53
Net4,9,2,22,58,17,0.17,6,103.0,2,0,6,0,7200.22
Net4,12,2,22,58,17,0.0,3,44.7399,0,2,10,0,0.13
Net5,0,2,22,58,15,0.0,11,134.0,0,0,0,0,0.12
Net5,3,2,22,58,15,0.0,8,91.6712,0,3,0,0,0.51
Net5,6,2,22,58,15,0.0,5,66.0,2,1,0,0,0.11
Net5,9,2,22,58,15,0.0,3,38.0,2,3,0,0,0.09
Net5,12,2,22,58,15,0.0,2,26.0,2,4,0,0,0.18
Net6,0,2,22,62,13,0.0,13,293.0,0,0,0,0,0.08
Net6,3,2,22,62,13,0.0,10,226.6595,2,0,0,0,1.55
Net6,6,2,22,62,13,0.0,7,184.0128,2,3,0,0,0.27
Net6,9,2,22,62,13,0.0,6,145.4145,2,4,0,0,3374.82
Net6,12,2,22,62,13,0.0,4,93.3572,0,1,10,0,0.19
Net7,0,2,22,65,21,0.0,21,259.0,0,0,0,0,0.13
Net7,3,2,22,65,21,0.0,16,180.842,2,0,0,0,4.67
Net7,6,2,22,65,21,0.0,12,125.6458,4,0,0,0,1430.75
Net7,9,2,22,65,21,0.0,8,86.0186,6,1,0,0,0.21
Net7,12,2,22,65,21,0.0,5,55.2417,6,4,0,0,0.29
Net8,0,2,22,75,20,0.0,20,368.0,0,0,0,0,0.22
Net8,3,2,22,75,20,0.0,17,301.6409,0,3,0,0,4.52
Net8,6,2,22,75,20,0.0,13,238.4282,4,2,0,0,1392.08
Net8,9,2,22,75,20,0.1,10,180.0,4,5,0,0,7200.23
Net8,12,2,22,75,20,0.0,7,136.3305,4,8,0,0,0.27
Net9,0,2,22,67,20,0.0,20,291.0,0,0,0,0,0.11
Net9,3,2,22,67,20,0.0,15,253.0,1,0,2,0,3.0
Net9,6,2,22,67,20,0.0,12,152.8001,0,0,6,0,853.13
Net9,9,2,22,67,20,0.33,9,98.0,6,1,0,0,7200.13
Net9,12,2,22,67,20,0.2,5,64.0,8,1,0,0,7200.21
Net10,0,2,22,69,21,0.0,21,276.0,0,0,0,0,0.12
Net10,3,2,22,69,21,0.0,17,216.0681,2,0,0,0,2.99
Net10,6,2,22,69,21,0.0,14,171.6146,2,3,0,0,670.57
Net10,9,2,22,69,21,0.09,11,151.0476,6,1,0,0,7200.32
Net10,12,2,22,69,21,0.12,8,87.0,8,1,0,0,7200.29
